id,text
line:tutorial-tom-01,"Tom: Ah. Hallo?"
line:tutorial-tom-02,"Tom: Ist da jemand?"
line:tutorial-anne-01,"Anne: Hallo!"
line:tutorial-tom-03,"Tom: Wer bist Du?"
line:tutorial-tom-04,"Tom: Und Wo bist Du?"
line:tutorial-anne-02,"Anne: Ich bin Anne! Ich bin hier!"
line:tutorial-tom-05,"Tom: Wo bin ich denn?"
line:tutorial-anne-03,"Anne: Du treibst in einer gahnenden Leere!"
line:tutorial-tom-06,"Tom: Das sehe ich.."
line:tutorial-tom-07,"Tom: Wie kam ich hierher?"
line:tutorial-anne-04,"Anne: Oh, ein Autor hat dich hergebracht. Die ist ein Test Gesprach fur Yarn Spinner!"
line:tutorial-tom-08,"Tom: Was ist Yarn Spinner?"
line:tutorial-anne-05,"Anne: Kein Grund zur Sorge!"
line:tutorial-tom-09,"Tom: Das ist so seltsam, Anne."
line:tutorial-tom-10,"Tom: Das ist wirklich verwirrend."
line:tutorial-anne-06,"Anne: Alles gut! Dies alles verschwindet in Kurze."
line:tutorial-tom-11,"Tom: Wie? Was?"
