id,text
line:tutorial-tom-01,"Tom: Ahm… ola?"
line:tutorial-tom-02,"Tom: Tem alguem ai?"
line:tutorial-anne-01,"Anne: Oi!"
line:tutorial-tom-03,"Tom: Quem e voce?"
line:tutorial-tom-04,"Tom: E onde voce esta?"
line:tutorial-anne-02,"Anne: Eu sou a Anne! Estou aqui, o!"
line:tutorial-tom-05,"Tom: Onde eu estou?"
line:tutorial-anne-03,"Anne: Voce esta flutuando num completo vazio!"
line:tutorial-tom-06,"Tom: E… eu percebi…"
line:tutorial-tom-07,"Tom: Como eu vim parar aqui?"
line:tutorial-anne-04,"Anne: Ah, foi um escritor que colocou voce aqui. Isso e um teste de conversa para o Yarn Spinner!"
line:tutorial-tom-08,"Tom: O que e Yarn Spinner?"
line:tutorial-anne-05,"Anne: Nao esquenta com isso!"
line:tutorial-tom-09,"Tom: Isso e estranho, Anne."
line:tutorial-tom-10,"Tom: E confuso, mesmo."
line:tutorial-anne-06,"Anne: Ta tudo bem! Isso vai sumir num instante."
line:tutorial-tom-11,"Tom: O que?!"
